claim_id	document	statement	claim_status	evidence_scope	evidence_ids	counterevidence_ids	conditions	artifact_handles	limitations	next_discriminator
COORD-006	08_coordinate_objective_and_decode_negatives.md	Several coordinate/geometry objective candidates were negative or unstable on compact-full val200 and should remain controls, not promoted mechanisms	historical_result	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; A5/A6 IoU-Gibbs, Gaussian SoftCE, Coord-repel, random/full-object SFT rows.	source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:3d8a00d50a1e1a047e17b3ec763ac77d35156e1c86c1c791d90e76d028abdf5f	-	`compact_full_objective_negative_sweep`	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; A5/A6 IoU-Gibbs, Gaussian SoftCE, Coord-repel, random/full-object SFT rows.	Run-specific negative results. Do not infer objective superiority without matching data/template/decode and raw artifact checks.	Run only a matched follow-up inside comparable group `compact_full_objective_negative_sweep` with raw artifacts and declared denominators.
COORD-007	08_coordinate_objective_and_decode_negatives.md	Local diagnostics can be numerically repaired without making the underlying model claim trustworthy	historical_result	Stage-2 crowded `v2_bboxfix` is retained here because it directly conditions coordinate/decode interpretation; source synthesis at `progress/diagnostics/2026-03-26_stage2_small_object_duplication_offline_synthesis.md`.	source_coverage.tsv#progress:1efabdb429732523cce5e7cafdf0177a7b5433874099042966bad673c149ce45;source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44	-	`diagnostics_parser_correction_v2_bboxfix`	Stage-2 crowded `v2_bboxfix` is retained here because it directly conditions coordinate/decode interpretation; source synthesis at `progress/diagnostics/2026-03-26_stage2_small_object_duplication_offline_synthesis.md`.	Trust asymmetry is a reusable evidence rule: parser fixes require a new artifact identity and supersede earlier derived metrics.	Run only a matched follow-up inside comparable group `diagnostics_parser_correction_v2_bboxfix` with raw artifacts and declared denominators.
COV-001	02_coverage_ledger_mechanism.md	source-history signal is reproducible within the bridge panel	historical_selected_evidence	Claim paragraph and evidence tables in 02_coverage_ledger_mechanism.md	source_coverage.tsv#output:9b41553678cfcb7278842a6b533b0f6d05b61b0934279f9cda44f15e4cab33b3;source_coverage.tsv#output:2264dc8a0993aef624f48790e2174553c2a6309f51e343f88bc3f5a111275d74;source_coverage.tsv#output:9b5582fe7c906fac24460d529db426b569d4b5838dcb153db9680b4625e51b40	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under COV-001 in 02_coverage_ledger_mechanism.md.	The merged source-history localization aggregate has 4 pairs, 3,024 bridge rows, and 0 errors. Removing the sorted-pureCE source history reduced final-logit contrast by 10.03 at layer 27 and 6.31 at layer 24 for one highlighted source; aggregate layer-27/layer-24 reductions were about 6.23/4.77. This supports a source-history contribution, not a unique coordinate-locality explanation.	Use the bounded next-probe guidance in 02_coverage_ledger_mechanism.md; do not repeat the historical arm without changing its declared discriminator.
COV-002	02_coverage_ledger_mechanism.md	hidden accessibility is not final-output causality	historical_selected_evidence	Claim paragraph and evidence tables in 02_coverage_ledger_mechanism.md	source_coverage.tsv#output:9b5582fe7c906fac24460d529db426b569d4b5838dcb153db9680b4625e51b40;source_coverage.tsv#output:9b41553678cfcb7278842a6b533b0f6d05b61b0934279f9cda44f15e4cab33b3;source_coverage.tsv#output:9284033bcf7897053d0d6d29d4fd6a37aeac0ef6b9a65ff0f4e3f5fafcb6a9ad	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under COV-002 in 02_coverage_ledger_mechanism.md.	The bridge explicitly compares `hidden_direct_lm_head`, `hidden_final_norm_lm_head`, and actual `final_logits`. A patch can produce a very large direct-hidden delta while the actual final-logit delta is small or zero. For example, selected self-attention/source-history rows show hidden direct deltas in the tens to roughly 114 while final deltas are around 0–4.625. Claim hidden accessibility/readout only unless the `final_logits` row moves.	Use the bounded next-probe guidance in 02_coverage_ledger_mechanism.md; do not repeat the historical arm without changing its declared discriminator.
COV-003	02_coverage_ledger_mechanism.md	route-state transfer is available but heterogeneous	historical_selected_evidence	Claim paragraph and evidence tables in 02_coverage_ledger_mechanism.md	source_coverage.tsv#output:9b5582fe7c906fac24460d529db426b569d4b5838dcb153db9680b4625e51b40;source_coverage.tsv#output:9b41553678cfcb7278842a6b533b0f6d05b61b0934279f9cda44f15e4cab33b3;source_coverage.tsv#output:cab50bfad66fea861b9a5cc7bce06355490ee248bccee90ee881ea14c63c7ddd	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under COV-003 in 02_coverage_ledger_mechanism.md.	The route-state transfer summary contains 45 pairs, 1,440 rows, and 0 errors. The source-minus-target patch often moves the target toward an available coordinate bin, but sign, layer, slot, and alpha behavior vary; it is not a route-equivalence proof.	Use the bounded next-probe guidance in 02_coverage_ledger_mechanism.md; do not repeat the historical arm without changing its declared discriminator.
COV-004	02_coverage_ledger_mechanism.md	coordinate rowspace is accessible but not canonical	historical_selected_evidence	Claim paragraph and evidence tables in 02_coverage_ledger_mechanism.md	source_coverage.tsv#output:1e53a88d4833728459d3669a3e222c96dd40c3ae580a2f44aad310389f8839b6;source_coverage.tsv#output:9b5582fe7c906fac24460d529db426b569d4b5838dcb153db9680b4625e51b40;source_coverage.tsv#output:9284033bcf7897053d0d6d29d4fd6a37aeac0ef6b9a65ff0f4e3f5fafcb6a9ad	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under COV-004 in 02_coverage_ledger_mechanism.md.	The coordinate-rowspace aggregate has 3,024 rows, three 864-row panels, and three 144-row dose panels. It supports accessible, heterogeneous coordinate directions (for example, selected layer-27 effective deltas of +3.625 and +3.5), not a single universal coordinate subspace or route.	Use the bounded next-probe guidance in 02_coverage_ledger_mechanism.md; do not repeat the historical arm without changing its declared discriminator.
COV-005	02_coverage_ledger_mechanism.md	visual bridge and source-transplant effects remain selected-case evidence	historical_selected_evidence	Claim paragraph and evidence tables in 02_coverage_ledger_mechanism.md	source_coverage.tsv#output:2264dc8a0993aef624f48790e2174553c2a6309f51e343f88bc3f5a111275d74;source_coverage.tsv#output:9284033bcf7897053d0d6d29d4fd6a37aeac0ef6b9a65ff0f4e3f5fafcb6a9ad;source_coverage.tsv#output:9b5582fe7c906fac24460d529db426b569d4b5838dcb153db9680b4625e51b40	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under COV-005 in 02_coverage_ledger_mechanism.md.	Visual-bridge mediation and source-transplant summaries can show recovery or rank movement on anchors, but extreme single cases are unstable and do not establish population mediation.	Use the bounded next-probe guidance in 02_coverage_ledger_mechanism.md; do not repeat the historical arm without changing its declared discriminator.
DUP-001	04_autoregressive_duplication_capsule.md	a selected pre-onset routing signal is strong	historical_selected_evidence	Claim paragraph and evidence tables in 04_autoregressive_duplication_capsule.md	source_coverage.tsv#output:fc646a196b9b9bfed7f0cc0af41304583b986f15a568eac3a5bdae97ed190822;source_coverage.tsv#output:94107d4c5555504fa8c08dba5834700a55e4689fa3e192b9b072e044ae8e8a74;source_coverage.tsv#output:f7a9640fbaf29cc726d99a19e5b5aa003503f98970c717a1ffc65bcbeb9c886c	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under DUP-001 in 04_autoregressive_duplication_capsule.md.	The phase-2 attention report has 17,584 source-attention rows, 1,496 zero-token rows skipped, and 240 head-contrast rows. In the highlighted `none_latest_ckpt32`, record 33, L17H1, `post_y1/pre_x2` case, duplicate density is 0.42748358; comparable no-align and aux cases are 0.39479090 and 0.35513485. The report calls these candidate routing heads, not causal heads.	Use the bounded next-probe guidance in 04_autoregressive_duplication_capsule.md; do not repeat the historical arm without changing its declared discriminator.
DUP-002	04_autoregressive_duplication_capsule.md	onset is phase- and checkpoint-dependent	historical_selected_evidence	Claim paragraph and evidence tables in 04_autoregressive_duplication_capsule.md	source_coverage.tsv#output:fc646a196b9b9bfed7f0cc0af41304583b986f15a568eac3a5bdae97ed190822;source_coverage.tsv#output:94107d4c5555504fa8c08dba5834700a55e4689fa3e192b9b072e044ae8e8a74;source_coverage.tsv#output:f7a9640fbaf29cc726d99a19e5b5aa003503f98970c717a1ffc65bcbeb9c886c	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under DUP-002 in 04_autoregressive_duplication_capsule.md.	The pre-onset panel has 1,256 coordinate rows, 192 coordinate summaries, 384 attention summaries, and 192 masking summaries. Example alignment probability/rank: aligner `post_y1/pre_x2`, offset −1, 0.182718/rank 5.4; no-align same phase, offset −2, 0.061681/rank 17.2. These are selected-window precursors.	Use the bounded next-probe guidance in 04_autoregressive_duplication_capsule.md; do not repeat the historical arm without changing its declared discriminator.
DUP-003	04_autoregressive_duplication_capsule.md	Q/K route changes dominate a selected case, but output recovery is small	historical_selected_evidence	Claim paragraph and evidence tables in 04_autoregressive_duplication_capsule.md	source_coverage.tsv#output:94107d4c5555504fa8c08dba5834700a55e4689fa3e192b9b072e044ae8e8a74;source_coverage.tsv#output:f7a9640fbaf29cc726d99a19e5b5aa003503f98970c717a1ffc65bcbeb9c886c;source_coverage.tsv#output:a7030fe602b7c6c68ea39dae882911eed0a33d9888dbb74040d175a88ea3bd0a	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under DUP-003 in 04_autoregressive_duplication_capsule.md.	In record 33 `post_y1/pre_x2`, Q/K rows show attention-mass delta +0.415218 and score delta +4.15748. Score-bias proxy recovery is only +0.010221 probability; direct key+value state patch +0.0100274; value-only −0.0000683. Downstream self-attention output recovery is +0.0127848 total or +0.0143284 route-only, while post-attention normalization is negative (−0.0053063 total).	Use the bounded next-probe guidance in 04_autoregressive_duplication_capsule.md; do not repeat the historical arm without changing its declared discriminator.
DUP-004	04_autoregressive_duplication_capsule.md	the projected duplicate direction is not a clean target basis	historical_selected_evidence	Claim paragraph and evidence tables in 04_autoregressive_duplication_capsule.md	source_coverage.tsv#output:f7a9640fbaf29cc726d99a19e5b5aa003503f98970c717a1ffc65bcbeb9c886c;source_coverage.tsv#output:94107d4c5555504fa8c08dba5834700a55e4689fa3e192b9b072e044ae8e8a74;source_coverage.tsv#output:fc646a196b9b9bfed7f0cc0af41304583b986f15a568eac3a5bdae97ed190822	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under DUP-004 in 04_autoregressive_duplication_capsule.md.	In the selected projection cancellation case, duplicate-basin projected target fraction is 15.9077 but projected target cosine is only 0.0342665. Large projection magnitude therefore cannot be read as target alignment.	Use the bounded next-probe guidance in 04_autoregressive_duplication_capsule.md; do not repeat the historical arm without changing its declared discriminator.
DUP-005	04_autoregressive_duplication_capsule.md	broad masking does not establish a universal causal mask	historical_selected_evidence	Claim paragraph and evidence tables in 04_autoregressive_duplication_capsule.md	source_coverage.tsv#output:94107d4c5555504fa8c08dba5834700a55e4689fa3e192b9b072e044ae8e8a74;source_coverage.tsv#output:fc646a196b9b9bfed7f0cc0af41304583b986f15a568eac3a5bdae97ed190822;source_coverage.tsv#output:f7a9640fbaf29cc726d99a19e5b5aa003503f98970c717a1ffc65bcbeb9c886c	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under DUP-005 in 04_autoregressive_duplication_capsule.md.	Phase-3 mean mask probability deltas are negative for all listed checkpoints: aligner −0.00062, aux −0.00142, no-align −0.00185, and none −0.00292. Rank changes are mixed. The visual-causal score is a prioritization heuristic, not an independent causal estimator.	Use the bounded next-probe guidance in 04_autoregressive_duplication_capsule.md; do not repeat the historical arm without changing its declared discriminator.
GRPS-001	03_gaussian_rps_mechanistic_round.md	validity is limited	historical_diagnostic	Claim paragraph and evidence tables in 03_gaussian_rps_mechanistic_round.md	source_coverage.tsv#output:32f0720feeb4065d3c7ddf78fcce20da0bf0d96da763c822d61d1b991b7c1d9b;source_coverage.tsv#output:c7a94ae5232319d5d6ee54dca773f3d8eb41c0101e51991ded0fc41efa596e13;source_coverage.tsv#output:bd571a7da7175ac50b67bf16eb1477ff35d0d5002f9beaf0e449732a8a11c420	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under GRPS-001 in 03_gaussian_rps_mechanistic_round.md.	Four runs have Gate 0 `ok`; pure-CE sorted has Gate 0 `fail`. Every listed run has Gate 0b `warning` and effective metric family `debug-f1ish-only`. All reports set `production_training_recommendation: none` and explicitly prohibit H1–H5 or production-training claims.	Use the bounded next-probe guidance in 03_gaussian_rps_mechanistic_round.md; do not repeat the historical arm without changing its declared discriminator.
GRPS-002	03_gaussian_rps_mechanistic_round.md	token health dominates interpretation	historical_diagnostic	Claim paragraph and evidence tables in 03_gaussian_rps_mechanistic_round.md	source_coverage.tsv#output:32f0720feeb4065d3c7ddf78fcce20da0bf0d96da763c822d61d1b991b7c1d9b;source_coverage.tsv#output:c7a94ae5232319d5d6ee54dca773f3d8eb41c0101e51991ded0fc41efa596e13;source_coverage.tsv#output:bd571a7da7175ac50b67bf16eb1477ff35d0d5002f9beaf0e449732a8a11c420	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under GRPS-002 in 03_gaussian_rps_mechanistic_round.md.	Pure CE has 200/200 traces ending at `<|im_end|>` with zero tokens after the first end marker. Prefix sorted has 25,113 tokens after the first end marker and 25,113 end-of-text events; ledger pre-merge has 27,740/27,740; ledger post-merge 23,390/23,390; Gaussian RPS 26,640/26,640. These are materially different continuation regimes.	Use the bounded next-probe guidance in 03_gaussian_rps_mechanistic_round.md; do not repeat the historical arm without changing its declared discriminator.
GRPS-003	03_gaussian_rps_mechanistic_round.md	raw/guarded counts are descriptive only	historical_diagnostic	Claim paragraph and evidence tables in 03_gaussian_rps_mechanistic_round.md	source_coverage.tsv#output:32f0720feeb4065d3c7ddf78fcce20da0bf0d96da763c822d61d1b991b7c1d9b;source_coverage.tsv#output:c7a94ae5232319d5d6ee54dca773f3d8eb41c0101e51991ded0fc41efa596e13;source_coverage.tsv#output:bd571a7da7175ac50b67bf16eb1477ff35d0d5002f9beaf0e449732a8a11c420	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under GRPS-003 in 03_gaussian_rps_mechanistic_round.md.	Pure CE: 1,458 raw and 1,191 guarded predictions, under/equal/over images 67/88/45. Prefix sorted: 1,099/872 and 87/75/38. Ledger pre-merge: 1,377/1,086 and 81/83/36. Ledger post-merge: 1,326/1,070 and 78/85/37. Gaussian RPS: 1,399/1,128 and 75/88/37.	Use the bounded next-probe guidance in 03_gaussian_rps_mechanistic_round.md; do not repeat the historical arm without changing its declared discriminator.
GRPS-004	03_gaussian_rps_mechanistic_round.md	no Gaussian superiority claim survives the gates	historical_diagnostic	Claim paragraph and evidence tables in 03_gaussian_rps_mechanistic_round.md	source_coverage.tsv#output:32f0720feeb4065d3c7ddf78fcce20da0bf0d96da763c822d61d1b991b7c1d9b;source_coverage.tsv#output:c7a94ae5232319d5d6ee54dca773f3d8eb41c0101e51991ded0fc41efa596e13;source_coverage.tsv#output:bd571a7da7175ac50b67bf16eb1477ff35d0d5002f9beaf0e449732a8a11c420	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under GRPS-004 in 03_gaussian_rps_mechanistic_round.md.	The reports provide comparable descriptive counts, not a valid population metric or a production recommendation. Differences may reflect checkpoint, prompt, continuation, guard, and artifact-health changes.	Use the bounded next-probe guidance in 03_gaussian_rps_mechanistic_round.md; do not repeat the historical arm without changing its declared discriminator.
INFER-001	10_inference_evaluation_and_artifact_lessons.md	A high AP row is accepted without checking raw generation	reusable_lesson	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; 79 metric roots and 60 coordinate-token/compact-full val200 rows were censused.	source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084	-	Require raw rollout, `summary`, resolved config, confidence post-op, duplicate report, and evaluator inputs. If any are missing, downgrade the claim.	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; 79 metric roots and 60 coordinate-token/compact-full val200 rows were censused.	Reusable artifact rule; current paths belong to `docs/eval/WORKFLOW.md`.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
